area,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,price_per_sft
1510,2,3,1,5th,Tiled,"Badda, Dhaka, Bangladesh","5,800.00৳"
360,1,1,Space,4th,,"Mirpur, Dhaka, Bangladesh","3,000.00৳"
1000,2,3,Space,5th,,"Banashree, Dhaka, Bangladesh",Negotiable
9,1160,20.00,90,3rd,Space,"Kallaynpur, Dhaka, Bangladesh","4,500.00৳"
1000,2,3,Space,2nd,,"Banashree, Dhaka, Bangladesh",Negotiable
1200,3,3,Space,8th,1,"Mirpur, Dhaka, Bangladesh",Negotiable
1600,3,3,Space,4th,,"Banashree, Dhaka, Bangladesh",Negotiable
1700,3,3,Space,4th,Tiled,"Uttara West, Dhaka, Bangladesh","13,000.00৳"
750,1,2,1,4th,2,"Adabor, Dhaka, Bangladesh",Negotiable
5,1500,5.00,10,5th,Space,"Mohammadpur , Dhaka, Bangladesh",Negotiable
1200,2,3,1,5th,3,"Keraniganj, Dhaka, Bangladesh","2,750.00৳"
1140,3,3,Space,5th,,"Banashree, Dhaka, Bangladesh","4,000.00৳"
4,1,2,1,3rd, Other,"Chattogram City, Chattogram, Bangladesh","4,095.00৳"
1510,2,3,1,6th,1,"Mirpur, Dhaka, Bangladesh",Negotiable
2700,3,3,1,5th,5,"Ramna, Dhaka, Bangladesh","11,000.00৳"
1750,2,3,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","11,430.00৳"
1160,1,3,1,3rd,Tiled,"Rupnagar, Dhaka, Bangladesh","5,500.00৳"
4700,4,4,Space,5th,Tiled,"Gulshan 1, Dhaka, Bangladesh","12,000.00৳"
2,3,3,Space,5th,,"Uttara West, Dhaka, Bangladesh",Negotiable
2350,3,3,1,5th,Tiled,"Baridhara, Dhaka, Bangladesh","17,025.00৳"
2600,3,4,1,2nd,5,"DOHS Baridhara, Dhaka, Bangladesh","2,25,00,000.00৳"
10,1220,5.30,27,4th,Space,"Mohammadpur , Dhaka, Bangladesh","3,800.00৳"
2280,2,3,1,1st,Tiled,"Baridhara, Dhaka, Bangladesh",Negotiable
1500,2,3,1,4th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,000.00৳"
2600,3,3,1,1st,2,"Baridhara, Dhaka, Bangladesh","18,000.00৳"
1693,3,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","7,000.00৳"
2160,2,4,1,5th,Tiled,"Tejgaon, Dhaka, Bangladesh","11,574.00৳"
2600,3,3,1,2nd,3,"DOHS Mohakhali, Dhaka, Bangladesh","11,600.00৳"
2150,4,4,Space,2nd,Tiled,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
3,3,3,Space,4th,,"Bashundhara RA, Dhaka, Bangladesh","1,07,00,000.00৳"
2200,3,4,1,3rd,4,"DOHS Mirpur, Dhaka, Bangladesh","9,090.00৳"
3600,3,3,Space,1st,Tiled,"Gulshan 2, Dhaka, Bangladesh",Negotiable
1650,2,3,1,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","1,15,00,000.00৳"
14,1687,41.33,65,3rd,Space,"Rangpur City, Rangpur, Bangladesh","4,000.00৳"
1400,2,3,1,4th,Tiled,"Savar, Dhaka, Bangladesh","5,000.00৳"
2000,3,3,Space,1st,,"New Market, Dhaka, Bangladesh",175.00৳
1900,3,3,1,8th,Tiled,"Badda, Dhaka, Bangladesh","6,400.00৳"
1970,3,4,1,6th,Tiled,"Moghbazar, Dhaka, Bangladesh","7,700.00৳"
1867,3,3,1,4th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
4,1200,1380.00,3,1st,Tiled,"Rangpur City, Rangpur, Bangladesh",Negotiable
227,1,2,Space,4th,,"Nangalkot, Cumilla, Bangladesh","20,00,000.00৳"
2000,3,3,1,8th,Tiled,", , ",Negotiable
2950,4,4,1,3rd,Tiled,"Baridhara, Dhaka, Bangladesh",Negotiable
528,1,2,1,2nd, Other,"Kamrangir Char, Dhaka, Bangladesh","3,400.00৳"
1950,3,4,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,180.00৳"
3060,3,4,1,4th,Tiled,"Banani, Dhaka, Bangladesh","15,000.00৳"
1698,2,3,1,10th,2,"Paltan, Dhaka, Bangladesh","5,450.00৳"
858,1,2,1,7th,Tiled,"Kadamtali, Dhaka, Bangladesh","2,570.00৳"
858,1,2,1,5th,Tiled,"Kadamtali, Dhaka, Bangladesh",Negotiable
531,2,1,Space,4th,,"Sutrapur, Dhaka, Bangladesh",Negotiable
1200,2,3,1,5th,Tiled,"Badda, Dhaka, Bangladesh","4,750.00৳"
1070,1,3,1,5th,2,"Turag, Dhaka, Bangladesh","3,272.00৳"
2915,2,2,1,1st,Tiled,"Banani, Dhaka, Bangladesh",Negotiable
2393,3,4,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","10,500.00৳"
1050,1,2,1,11th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1350,2,3,1,7th,Tiled,"Badda, Dhaka, Bangladesh","6,700.00৳"
