area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
1850,2,2,3,1,10th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,000.00৳",Apartment
1850,2,3,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",,"8,700.00৳",Apartment
1850,2,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1675,2,3,3,1,1st,,"Bashundhara RA, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1684,3,2,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,532.00৳",Apartment
1854,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,090.00৳",Apartment
1890,2,3,4,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
1060,1,2,3,1,4th,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment
1850,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,650.00৳",Apartment
1160,2,2,2,1,7th,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment
1465,3,2,3,,1st,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment
2200,3,2,4,,2nd,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
1325,3,2,3,1,3rd,,"Lalmatia, Dhaka, Bangladesh",1,Negotiable,Apartment
1650,3,2,3,,6th,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment
1454,2,2,3,2,8th,,"Uttara East, Dhaka, Bangladesh",1,"40,00,000.00৳",Apartment
2200,3,2,3,,7th,,"Gulshan 2, Dhaka, Bangladesh",2,Negotiable,Apartment
1920,2,2,3,1,1st,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment
2200,3,2,3,,7th,,"Gulshan 2, Dhaka, Bangladesh",2,"20,000.00৳",Apartment
2200,3,2,3,,7th,,"Gulshan 2, Dhaka, Bangladesh",,"4,50,00,000.00৳",Apartment
