area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
5600,3rd,"Badda, Dhaka, Bangladesh",1,,"21,500.00৳",Commercial Space,10,,
2700,2nd,"Mohakhali, Dhaka, Bangladesh",1,,"13,000.00৳",Commercial Space,2,,
300,8th,"Paltan, Dhaka, Bangladesh",1,,"65,00,000.00৳",Commercial Space,10,,
1240,6th,"Mirpur, Dhaka, Bangladesh",Kounik Anowara Tower ,,"4,300.00৳",Commercial Space,5,,
2191,2nd,"Mohammadpur , Dhaka, Bangladesh",Ready,,"8,000.00৳",Commercial Space,2,,
6650,10th,"Gazipur Sadar, Gazipur, Bangladesh",Samrat Vabon,,"7,520.00৳",Commercial Space,10,,
2191,8th,"Mohammadpur , Dhaka, Bangladesh",Ready,,"9,000.00৳",Commercial Space,3,,
70000,7th,"Chattogram City, Chattogram, Bangladesh",Ready,,Negotiable,Commercial Space,7,,
160,2nd,"Narayanganj, Narayanganj, Bangladesh",Moyuri super market,,"18,00,000.00৳",Commercial Space,5,,
214,3rd,"Chattogram City, Chattogram, Bangladesh",2,,"6,900.00৳",Commercial Space,2,,
Ready,Ground,"Rangpur City, Rangpur, Bangladesh",Raw,,"70,00,000.00৳",Commercial Space,1000,,
1,2nd,"Dhanmondi, Dhaka, Bangladesh",DR.Refatullah Happy Arcade Plaza,,"25,000.00৳",Commercial Space,195,,
YUNUSCO CITY CENTER,4th,"Chattogram City, Chattogram, Bangladesh",Ready,,"20,000.00৳",Commercial Space,168,,
10000,Ground,"Dhamrai, Dhaka, Bangladesh",Dhulivita Height,,"1,00,000.00৳",Commercial Space,4,,
Himu Super Market,Ground,"Singiar, Manikganj, Bangladesh",Ready,,"2,759.00৳",Commercial Space,435,,
1,9th,"Khilgaon, Dhaka, Bangladesh",Ready,,"5,500.00৳",Commercial Space,1760,,
5300,1st,"Paltan, Dhaka, Bangladesh",Ready,,60.00৳,Commercial Space,5,,
sajeda bhaban,1st,"Keraniganj, Dhaka, Bangladesh",Ready,,"10,000.00৳",Commercial Space,160,,
4500,1st,"Kakrail, Dhaka, Bangladesh",Ready,,"18,000.00৳",Commercial Space,3,,
2000,2nd,"Banashree, Dhaka, Bangladesh",Ready,,"7,500.00৳",Commercial Space,10,,
500,1st,"Kakrail, Dhaka, Bangladesh",Ready,,"25,000.00৳",Commercial Space,10,,
156,Ground,"Chattogram City, Chattogram, Bangladesh",Khulshi town centre,,"38,460.00৳",Commercial Space,4,,
7000,2nd,"Banglamotor, Dhaka, Bangladesh",1,,"30,000.00৳",Commercial Space,1,,
330,2nd,"Kakrail, Dhaka, Bangladesh",Karnafuly garden city,,"32,000.00৳",Commercial Space,3,,
34460,8th,"Savar, Dhaka, Bangladesh",Ready,,"8,125.00৳",Commercial Space,8,,
995,3rd,"Paltan, Dhaka, Bangladesh",Paradise Hafsa Garden ,,"7,236.00৳",Commercial Space,5,,
10000,2nd,"Dhanmondi, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,2,,
1050,1st,"Kotwali, Dhaka, Bangladesh",commercial,,"5,400.00৳",Commercial Space,3,,
