address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 04,,, North Facing, Commercial,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",3rd  floor, 50 Ft.,240 Sq. Ft.,,,Un-Furnished,03,Gulshan Avenue,"
",," BDT 782,080/- (BDT 160/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-4888-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 48,880/- (BDT 10/- Per Sq. Ft.)",4888 Sq Ft.,Spaciously Designed And Strongly Structured This 4888 Sq. Ft Commercial Space Now Vacant For Rent In Gulshan Avenue, 12 Units,,01,2018
"Road 32, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd to 6th Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,01, Road 32,01 car parking (Per floor), Foreigner,"BDT 210,000/-", Residential,https://rents.com.bd/property/brand-new-apartment-of-2600-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2600 Sq Ft,Brand New Apartment Of 2600 Sq Ft Is Up For Rent In Gulshan,08 Units,A-3 – A-6, 01,2022
"Road 32, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 01 Balconies,,02 Bathrooms,01 Bedrooms,, Residential,120 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",6th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 32,01 car parking, Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-studio-apartment-of-1500-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 6,000/-",1500 Sq Ft,A Modern Well-planned Fully-Furnished Studio Apartment Of 1500 Sq Ft Is Up For Rent In Gulshan,20 Units,A-6, 04,2008
"Road 24, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", East, 02 Balconies,,04 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Refrigerator,Road side view",5th Floor,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 24,01 car parking, Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-apartment-of-2300-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01, Including with monthly rent.,2300 Sq Ft,A Modern Well-planned Fully-Furnished Apartment Of 2300 Sq Ft Is Up For Rent In Gulshan,16 Units,A-5, 02,2015
"Road 18, Furnished Apartment Rent in Banani, Dhaka", South, 02 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",9th Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 18,01, Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/excellent-flat-of-2300-sq-ft-is-available-for-rent-in-the-fine-location-of-banani/,For Rent, 01, 01," BDT 9,500/-",2300 Sq Ft,Excellent Flat Of 2300 Sq Ft Is Available For Rent In The Fine Location Of Banani,20 Units,9B, 02,2010
"Road 71, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,250 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,Swimming Pool",2nd Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,04, Road 71,01, Foreigner,"BDT 220,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-apartment-of-3200-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 24,000/-",3200 Sq Ft,A Modern Well-planned Fully-Furnished Apartment Of 3200 Sq Ft Is Up For Rent In Gulshan,40 Units,C2, 08,2010
"Road 12, Commercial Space Rent in Banani, Dhaka",,,Basement 04,,, South Facing, Commercial,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",3rd floor, 50 Ft.,120 Sq. Ft.,,,Un-Furnished,02,Road 12,"
",," BDT 360,000/- (BDT 120/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-3000-sq-ft-is-up-for-rent-in-banani/,For Rent,,,Including with rent,3000 Sq Ft.,A Modern Well-planned Commercial Space Of 3000 Sq Ft Is Up For Rent In Banani, 12 Units,,02,2016
"Road 12, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th Floor Available,16 Ft.,360 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 12,03, Foreigner,"BDT 350,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-4200-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 20,000/-",4200 Sq Ft,A Modern Well-planned Flat Of 4200 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,08 Units,4A, 01,2016
"Road 12, Commercial Space Rent in Banani, Dhaka",,,Basement 04,,, South Facing, Commercial,450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",6th floor, 50 Ft.,360 Sq. Ft.,,,Un-Furnished,02,Road 12,"
",," BDT 720,000/- (BDT 120/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-6000-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,For Rent,,,Including with rent,6000 Sq Ft.,Spaciously Designed And Strongly Structured This 6000 Sq. Ft Commercial Space Now Vacant For Rent In Banani, 12 Units,,02,2016
"Road 13, Apartment Rent in Banani, Dhaka", East, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 13,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/brand-new-2050-sq-ft-apartment-now-vacant-for-rent-in-banani/,For Rent, 01, 01," BDT 12,000/-",2050 Sq Ft,Brand New 2050 SQ FT Apartment Now Vacant For Rent In Banani,9 Units,A5, 01,2023
"Road 70, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", South, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th Floor ,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 70,01, Foreigner,"BDT 170,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-apartment-of-2900-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",2900 Sq Ft,A Modern Well-planned Fully-Furnished Apartment Of 2900 Sq Ft Is Up For Rent In Gulshan,08 Units,B4, 02,2010
"Road 11, Furnished Apartment Rent in Banani, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 11,01, Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-2200-sq-ft-fully-furnished-apartment-is-up-for-rent-in-banani/,For Rent, 01, 01," BDT 9,000/-",2200 Sq Ft,Stunning Views With Quality Finishing A 2200 Sq Ft Fully-Furnished Apartment Is Up For Rent In Banani,18 Units,B3, 02,2010
"Road 54, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", South, 04 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",6th Floor,24 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 54,02, Foreigner,"BDT 430,000/-", Residential,https://rents.com.bd/property/brand-new-luxury-home-of-4000-sq-ft-is-up-for-rent-in-the-fine-location-of-gulshan/,For Rent, 01, 01, Not fixed yet.,4000 Sq Ft,Brand New Luxury Home Of 4000 Sq Ft Is Up For Rent In The Fine Location Of Gulshan,24 Units,A-6, 02,2023
"Road 57, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",2nd Floor,24 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Semi-Furnished,02, Road 57,02, Foreigner,"BDT 400,000/-", Residential,https://rents.com.bd/property/3400-sq-ft-brand-new-luxury-apartment-is-vacant-for-rent-in-gulshan/,For Rent, 01, 01, Including,3400 Sq Ft,3400 SQ FT Brand New Luxury Apartment Is Vacant For Rent In Gulshan,26 Units,2B, 02,2023
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 02 Balconies,,04 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th Floor,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Semi-Furnished,01, Park Road ,01, Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/excellent-flat-of-2900-sq-ft-is-available-for-rent-in-the-fine-location-of-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 15,000/-",2900 Sq Ft,Excellent Flat Of 2900 Sq Ft Is Available For Rent In The Fine Location Of Baridhara Diplomatic Zone,10 Units,4A, 02,2009
"Road 51, Apartment Rent in Gulshan, Dhaka", North, 04 Balconies,,06 Bathrooms,06 Bedrooms,, Residential,350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Road side view",G+1,16 Ft.,360 Sq. Ft.,Govt., Basic Rules, Un-Furnished,N/A, Road 51,03, Foreigner,"BDT 400,000/-", Residential Cum Commercial,https://rents.com.bd/property/4500-sq-ft-individual-house-is-available-for-rent-in-the-fine-location-of-gulshan/,For Rent, 01, 01, N/A,4500 Sq Ft,4500 Sq Ft Individual House Is Available For Rent In The Fine Location Of Gulshan,Full Building,Individual House, 01,2000
"Road 4, Office Space Rent in Banani, Dhaka",,,,,, West Facing, Residential,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",1st floor, 40 Ft.,120 Sq Ft.,,,Un-Furnished,No,Road 4,"
",," BDT 100,000/-", Residential Cum Commercial,https://rents.com.bd/property/tastefully-designed-this-950-sq-ft-office-space-is-vacant-for-rent-in-banani/,For Rent,,,"BDT 10,000/-",950 Sq. Ft.,Tastefully Designed This 950 SQ FT Office Space Is Vacant For Rent In Banani, 4 Units,,01,2000
"Road 88, Apartment Rent in Gulshan, Dhaka", North, 04 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Individual House,Open Space,Road side view,Swimming Pool",4th to 7th floor available,24 Ft.,240 Sq. Ft.,L.P.G, Basic Rules, Semi-Furnished,02, Road 88,02, Foreigner,"BDT 400,000/-", Residential ,https://rents.com.bd/property/stunning-luxury-brand-new-home-of-4000-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01, At Actual,4000 Sq Ft,Stunning Luxury Brand New Home Of 4000 Sq Ft Is Up For Rent In Gulshan,10 units,A4 – A7, 01,2023
"Road 75, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd Floor,16 Ft.,120 Sq. Ft.,Govt., Basic Rules, Fully-Furnished,01, Road 75,01, Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/excellent-fully-furnished-apartment-of-1700-sq-ft-is-available-for-rent-in-the-fine-location-of-gulshan/,For Rent, 01, 01," BDT 9,000/-",1700 Sq Ft,Excellent Fully-Furnished Apartment Of 1700 Sq Ft Is Available For Rent In The Fine Location Of Gulshan,10 Units,2B, 02,2007
"Road 5, Office Space Rent in Banani, Dhaka",,,,,, East Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",5th floor, 30 Ft.,120 Sq Ft.,,,Semi-Furnished,01,Road 5,"
",," BDT 120,000/-", Residential Cum Commercial,https://rents.com.bd/property/uniquely-designed-2485-sq-ft-office-space-is-up-for-rent-in-banani/,For Rent,,,"BDT 10,000/-",2485 Sq. Ft.,Uniquely Designed 2485 Sq Ft Office Space Is Up For Rent In Banani, 6 Units,,02,2003
"Road 11, Apartment Rent in Banani, Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",7th Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 11,01, Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/brand-new-lovely-apartment-of-2430-sq-ft-is-up-for-rent-in-banani/,For Rent, 01, 01," BDT 10,000/-",2430 Sq Ft,Brand New Lovely Apartment Of 2430 Sq Ft Is Up For Rent In Banani,18 Units,7A, 02,2023
"Road 113, Apartment Rent in Gulshan, Dhaka", West, 03 Balconies,,04 Bathrooms,03 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",11th Floor,24 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 113,02, Foreigner,"BDT 180,000/-", Residential,https://rents.com.bd/property/2900-sq-ft-brand-new-apartment-is-vacant-for-rent-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2900 Sq Ft,2900 SQ FT Brand New Apartment Is Vacant For Rent In Gulshan,26 Units,A11, 02,2023
"Road 75, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 75,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/modern-fully-furnished-apartment-of-1800-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 9,500/-",1800 Sq Ft,Modern Fully-Furnished Apartment Of 1800 Sq Ft Is Up For Rent In Gulshan,15 Units,C-5, 03,2010
"Road 6, Apartment Rent in Banani, Dhaka", South, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",8th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 6,01, Foreigner,"BDT 135,000/-", Residential,https://rents.com.bd/property/brand-new-2300-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,For Rent, 01, 01," BDT 10,500/-",2300 Sq Ft,Brand New 2300 SQ FT Apartment Now Vacant For Rent In Banani,26 Units,8A, 02,2022
"Road 7, Apartment Rent in Gulshan, Dhaka", East, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd Floor,24 Ft.,120 Sq. Ft.,L.P.G, Basic Rules, Un-Furnished,02, Road 7,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/wonderful-flat-covering-an-area-of-2800-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",2800 Sq Ft,Wonderful Flat Covering An Area Of 2800 Sq Ft Is Available For Rent In Gulshan,14 Units,A2, 02,2020
"Road 111, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",7th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 111,01, Foreigner,"BDT 145,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-brand-new-flat-of-2600-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01, At Actual,2600 Sq Ft,A Modern Well-planned Brand New Flat Of 2600 Sq Ft Is Up For Rent In Gulshan,24 Units,A7, 02,2022
"Road 127, Apartment Rent in Gulshan, Dhaka", East, 02 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",1st Floor,16 Ft.,240 Sq. Ft.,Govt., Basic Rules, Un-Furnished,01, Road 127,02, Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/uniquely-designed-3000-sq-ft-flat-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 13,000/-",3000 Sq Ft,Uniquely Designed 3000 Sq Ft Flat Is Up For Rent In Gulshan,10 Units,1A, 02,2008
"Road 79, Apartment Rent in Gulshan, Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd Floor,24 Ft.,120 Sq. Ft.,Govt., Basic Rules, Un-Furnished,01, Road 79,01, Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/rarely-available-a-2300-sq-ft-apartment-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 7,000/-",2300 Sq Ft,Rarely Available A 2300 Sq Ft Apartment Is Up For Rent In Gulshan,10 Units,301, 02,2008
"Road 73, Apartment Rent in Gulshan, Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd Floor,24 Ft.,120 Sq. Ft.,Govt., Basic Rules, Un-Furnished,02, Road 73,01, Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/wonderful-flat-covering-an-area-of-2450-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BDT12,000/-",2450 Sq Ft,Wonderful Flat Covering An Area Of 2450 Sq Ft Is Available For Rent In Gulshan,20 Units,203-B, 04,2007
"Road 57, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",13th Floor,24 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Semi-Furnished,02, Road 57,02, Foreigner,"BDT 400,000/-", Residential,https://rents.com.bd/property/3400-sq-ft-brand-new-apartment-is-vacant-for-rent-in-gulshan/,For Rent, 01, 01, Including,3400 Sq Ft,3400 SQ FT Brand New Apartment Is Vacant For Rent In Gulshan,26 Units,13A, 02,2023
